"Year","Month","SOI"
1980,"Jan",2.777211226108
1980,"Feb",1.14388105946656
1980,"Mar",-7.39673088933711
1980,"Apr",-7.10442988739067
1980,"May",-1.48542112759041
1980,"Jun",-2.19753312883251
1980,"Jul",-1.23506925215436
1980,"Aug",1.85260387823091
1980,"Sep",-4.32274238253901
1980,"Oct",-1.2795762522321
1980,"Nov",-3.05985625533662
1980,"Dec",-1.49654787760971
1981,"Jan",2.29876097527345
1981,"Feb",-3.16217119804382
1981,"Mar",-14.5734846518537
1981,"Apr",-2.79837762988029
1981,"May",5.21288238409161
1981,"Jun",7.37147188785626
1981,"Jul",6.89858501203131
1981,"Aug",5.20175563407219
1981,"Sep",5.72471288498375
1981,"Oct",-3.67182750640374
1981,"Nov",1.24619600217375
1981,"Dec",3.76640488156867
1982,"Jan",8.99706448695547
1982,"Feb",0.665430808632014
1982,"Mar",2.17227412735165
1982,"Apr",-1.84147712821174
1982,"May",-4.35612263259715
1982,"Jun",-11.2880878946867
1982,"Jul",-14.1532260246839
1982,"Aug",-16.8069559043121
1982,"Sep",-17.2408991550685
1982,"Oct",-15.6330837772647
1982,"Nov",-23.1547667903832
1982,"Dec",-20.6345579109872
1983,"Jan",-31.1927565831372
1983,"Feb",-33.7829872514477
1983,"Mar",-24.620939919377
1983,"Apr",-9.49668114156286
1983,"May",4.25598188242252
1983,"Jun",-1.24063262716341
1983,"Jul",-5.54112150966365
1983,"Aug",0.895703376561812
1983,"Sep",7.63851388832194
1983,"Oct",3.50492625611283
1983,"Nov",-1.14605525199898
1983,"Dec",-0.539647375941164
1984,"Jan",0.86341022276981
1984,"Feb",5.92838356781094
1984,"Mar",-5.00447963516492
1984,"Apr",1.50767462762955
1984,"May",0.42837987574723
1984,"Jun",-4.58978438300524
1984,"Jul",1.63563225285238
1984,"Aug",2.8095043799
1984,"Sep",1.41866062747392
1984,"Oct",-3.67182750640374
1984,"Nov",2.2030965038423
1984,"Dec",-1.97499812844481
1985,"Jan",-3.92109228557457
1985,"Feb",6.88528406947949
1985,"Mar",-1.65532787932363
1985,"Apr",8.68442839014612
1985,"May",2.34218087908487
1985,"Jun",-5.06823463383924
1985,"Jul",-1.71351950298836
1985,"Aug",7.11555663740983
1985,"Sep",-0.0166901250291814
1985,"Oct",-4.15027775723829
1985,"Nov",-1.62450550283298
1985,"Dec",1.37415362739648
1986,"Jan",7.56171373445183
1986,"Feb",-10.8173752113944
1986,"Mar",0.736923374848556
1986,"Apr",1.029224376795
1986,"May",-3.3992221309286
1986,"Jun",6.89302163702171
1986,"Jul",1.63563225285292
1986,"Aug",-4.84569963345112
1986,"Sep",-4.32274238253901
1986,"Oct",4.94027700861592
1986,"Nov",-10.7150602686872
1986,"Dec",-13.4578041484712
1987,"Jan",-6.79179379058076
1987,"Feb",-12.7311762147326
1987,"Mar",-14.5734846518537
1987,"Apr",-13.8027333990727
1987,"May",-12.4897768967828
1987,"Jun",-11.2880878946873
1987,"Jul",-13.6747757738493
1987,"Aug",-9.6302021417955
1987,"Sep",-9.1072448908834
1987,"Oct",-4.15027775723829
1987,"Nov",-1.62450550283298
1987,"Dec",-4.845699633451
1988,"Jan",-1.52884103140184
1988,"Feb",-5.07597220138146
1988,"Mar",2.1722741273522
1988,"Apr",-0.406126375708641
1988,"May",6.64823313659525
1988,"Jun",-1.71908287799796
1988,"Jul",8.33393576453495
1988,"Aug",11.9000591457542
1988,"Sep",15.7721681525071
1988,"Oct",11.6385805202979
1988,"Nov",14.6428030255378
1988,"Dec",9.50780789158214
1989,"Jan",12.8246664936313
1989,"Feb",9.27753532365168
1989,"Mar",5.99987613402748
1989,"Apr",12.5120303968214
1989,"May",9.51893464160144
1989,"Jun",4.97922063368407
1989,"Jul",6.89858501203131
1989,"Aug",-3.88879913178202
1989,"Sep",4.28936213248065
1989,"Oct",5.89717751028502
1989,"Nov",-2.10295575366807
1989,"Dec",-5.32414988428555
1990,"Jan",-1.52884103140184
1990,"Feb",-17.515678723077
1990,"Mar",-7.39673088933656
1990,"Apr",0.0723238751259054
1990,"May",8.56203413993289
1990,"Jun",1.15161862700878
1990,"Jul",4.02788350702511
1990,"Aug",-2.93189863011348
1990,"Sep",-6.23654338587666
1990,"Oct",1.59112525277518
1990,"Nov",-4.49520700783972
1990,"Dec",-2.93189863011335
1991,"Jan",4.69101222944564
1991,"Feb",0.665430808632014
1991,"Mar",-9.31053189267475
1991,"Apr",-7.10442988739012
1991,"May",-11.0544261442797
1991,"Jun",-2.67598337966705
1991,"Jul",-1.23506925215381
1991,"Aug",-4.84569963345112
1991,"Sep",-13.4132971483932
1991,"Oct",-9.89168076725177
1991,"Nov",-5.93055776034336
1991,"Dec",-16.3285056534774
1992,"Jan",-25.9298038239583
1992,"Feb",-9.38202445889184
1992,"Mar",-21.2717881635357
1992,"Apr",-10.4535816432314
1992,"May",0.906830126581233
1992,"Jun",-6.98203563717689
1992,"Jul",-5.06267125882964
1992,"Aug",1.85260387823145
1992,"Sep",0.461760125805365
1992,"Oct",-13.240832523093
1992,"Nov",-5.93055776034336
1992,"Dec",-5.80260013511955
1993,"Jan",-8.70559479391841
1993,"Feb",-7.9466737063882
1993,"Mar",-7.39673088933711
1993,"Apr",-11.8889323957345
1993,"May",-4.35612263259715
1993,"Jun",-8.89583664051453
1993,"Jul",-7.93337276383638
1993,"Aug",-10.587102643464
1993,"Sep",-6.23654338587666
1993,"Oct",-10.3701310180858
1993,"Nov",-0.189154750329886
1993,"Dec",0.895703376561932
1994,"Jan",-2.00729128223693
