2018/9/5,NOx (ppb),O3 (ppb),PM 2.5  (£gg/m 3 ),NMHC (ppm),CO (ppm),NO (ppb),NO2 (ppb),PM 10  (£gg/m 3 ),CH4 (ppm),BENZENE (ppb),TOLUENE (ppb),ETHYLBENZENE (ppb),M_P_XYLENES (ppb),O_XYLENE (ppb),THC (ppm),SO2 (ppb)
0,12,14,9,0.1,0.33,2.2,9.6,11,1.8,0.3,1.5,0.2,0.6,0.2,1.9,1
1,7.8,13,10,0.1,0.23,1.3,6.6,15,1.8,0,0,0,0,0,1.9,1.9
2,7.1,12,10,0.09,0.22,1,6.1,17,1.8,0.2,2.3,0.2,0.5,0.2,1.9,1.8
3,6,12,7,0.06,0.17,1.3,4.7,17,1.8,0.2,1,0.1,0.4,0.1,1.8,1.7
4,4.9,12,6,0.07,0.19,0.9,4,18,1.8,0.2,1.1,0.1,0.4,0.1,1.9,1.7
5,11,10,5,0.1,0.29,4.5,6,21,1.8,0.3,1.2,0.2,0.5,0.2,1.9,1.6
6,23,7.7,5,0.15,0.51,14,8.9,20,1.8,0.5,1.8,0.2,0.7,0.3,1.9,1.8
7,49,7.4,10,0.39,1.36,34,15,22,1.8,1.3,4.8,0.6,1.5,0.9,2.2,2.3
8,63,12,16,0.46,1.71,39,25,30,1.8,1.6,6.2,0.7,2.6,1,2.2,2.8
9,53,31,18,0.3,1.23,20,33,33,1.8,1.1,4.6,0.5,1.5,0.6,2.1,3.4
10,61,42,19,0.31,1.2,17,44,28,1.8,1,5.3,0.5,1.3,0.5,2.1,4.4
11,51,61,24,0.3,1.02,9.3,42,31,1.9,0.8,5.3,0.4,1,0.4,2.2,5
12,28,70,28,0.19,0.69,3,25,41,1.9,0.6,3.9,0.3,0.7,0.3,2,4.7
13,47,43,28,0.26,1.12,10,36,39,1.8,1,4.2,0.4,1.4,0.5,2.1,4.2
14,62,34,30,0.3,1.13,17,45,39,1.9,1.1,5.6,0.5,1.6,0.6,2.2,4.8
15,68,25,32,0.33,1.25,20,48,41,1.9,1.1,6.4,0.5,1.6,0.6,2.2,4.2
16,44,34,28,0.31,0.82,9.6,34,38,1.8,0.8,8.6,0.5,1.6,0.6,2.1,3.5
17,19,35,24,0.18,0.53,2.9,16,32,1.8,0.4,2.8,0.2,0.7,0.2,2,2.1
18,23,27,22,0.18,0.77,4.6,18,31,1.8,0.6,2.2,0.2,0.8,0.3,2,2.1
19,19,26,19,0.15,0.59,2.8,16,30,1.8,0.5,1.7,0.2,0.7,0.2,1.9,2
20,15,26,17,0.12,0.45,2,13,23,1.8,0.5,1.8,0.2,0.7,0.2,1.9,2
21,15,25,17,0.12,0.46,2,13,22,1.7,0.4,1.7,0.2,0.6,0.2,1.9,1.9
22,14,26,18,0.13,0.43,1.4,13,19,1.8,0.4,1.7,0.2,0.6,0.2,1.9,1.9
23,21,13,17,0.2,0.64,5.1,16,22,1.9,0.6,5.6,0.3,1.1,0.4,2.1,2.3
