"SO2.7.Q1","O3.7.Q1","PM2.5.7.Q1","SO2.11.Q1","O3.11.Q1","PM2.5.11.Q1"
4.61935483870968,11.5290322580645,8.93548387096774,5.01034482758621,18.8428571428571,37.7931034482759
7.52451612903226,10.8448387096774,11.5141935483871,4.5551724137931,17.1285714285714,41.2068965517241
10.7261290322581,9.77032258064516,13.2867741935484,4.95172413793103,14.2952380952381,41.6206896551724
8.53451612903226,8.54741935483871,12.43,4.67586206896552,14.0619047619048,38.1034482758621
9.01677419354839,7.94064516129032,11.3261290322581,5.1448275862069,12.4904761904762,38.9310344827586
10.7735483870968,7.20774193548387,13.6738709677419,5.65862068965517,9.35714285714286,39.551724137931
10.1622580645161,8.58483870967742,12.6990322580645,5.07931034482759,7.5,36.1724137931034
9.10290322580645,13.1845161290323,14.4938709677419,5.87586206896552,9.23809523809524,37.0689655172414
8.57548387096774,19.9712903225806,13.5793548387097,8.19310344827586,20.5666666666667,38.3448275862069
8.57096774193548,24.741935483871,14.858064516129,9.27931034482759,39.4904761904762,37.5689655172414
7.95806451612903,31.7096774193548,14.6387096774194,7.8448275862069,57.747619047619,37.3448275862069
7.60322580645161,35.7312903225806,14.1612903225806,8.00103448275862,65.6666666666667,37.4137931034483
7.7,36.8816129032258,12.241935483871,8.57931034482759,74.5476190476191,37.2068965517241
4.88709677419355,36.3225806451613,11.741935483871,7.75068965517241,81.5714285714286,36.4827586206897
4.50741935483871,32.758064516129,13.3870967741935,7.66896551724138,75.8490476190476,35.3162068965517
4.63612903225806,28.6129032258065,11.9354838709677,6.56551724137931,67.8652380952381,31.3044827586207
4.12258064516129,25.7645161290323,12.8064516129032,5.7448275862069,58.1190476190476,30
5.77096774193548,22.1612903225806,12.6451612903226,5.66206896551724,48.4285714285714,32.2413793103448
5.09677419354839,19.1290322580645,14.9677419354839,4.76551724137931,42.5619047619048,33
4.98064516129032,17.0838709677419,15.6290322580645,5.09310344827586,38.1714285714286,32.8275862068966
7.04838709677419,15.1709677419355,18.1935483870968,4.93448275862069,36.4523809523809,33.4827586206897
5.58709677419355,14.9741935483871,15.5806451612903,4.61379310344828,31.7238095238095,34.8620689655172
4.64193548387097,14.0129032258065,15.5322580645161,4.11034482758621,25.7047619047619,36.5862068965517
6.00967741935484,12.0322580645161,15.2258064516129,4.83103448275862,21.7190476190476,37.8275862068966
